GEO_ID,NAME,B01003_001E
1600000US2038900,"Lawrence city, Kansas",98196
1600000US4864472,"San Angelo city, Texas",98193
1600000US4957300,"Orem city, Utah",97839
1600000US1260950,"Riverview CDP, Florida",97034
1600000US0668196,"San Marcos city, California",96673
1600000US0845970,"Longmont city, Colorado",96672
1600000US1200410,"Alafaya CDP, Florida",96528
1600000US3601000,"Albany city, New York",96460
1600000US4967440,"Sandy city, Utah",96385
1600000US3714100,"Concord city, North Carolina",96342
1600000US1823278,"Fishers city, Indiana",96301
1600000US5323515,"Federal Way city, Washington",96297
1600000US0633434,"Hesperia city, California",95753
1600000US2509000,"Brockton city, Massachusetts",95705
1600000US0615044,"Compton city, California",95601
1600000US2629000,"Flint city, Michigan",95541
1600000US4224000,"Erie city, Pennsylvania",95537
1600000US2545000,"New Bedford city, Massachusetts",95348
1600000US1269700,"Sunrise city, Florida",95153
1600000US1256825,"Pine Hills CDP, Florida",94802
1600000US0680238,"Tracy city, California",94751
1600000US1367284,"Roswell city, Georgia",94747
1600000US0646842,"Menifee city, California",94738
1600000US1257425,"Plantation city, Florida",94605
1600000US2555745,"Quincy city, Massachusetts",94468
1600000US5164000,"Portsmouth city, Virginia",94398
1600000US0648256,"Mission Viejo city, California",94375
1600000US0613210,"Chino city, California",94352
1600000US2537490,"Lynn city, Massachusetts",94300
1600000US4023200,"Edmond city, Oklahoma",94058
1600000US2621000,"Dearborn city, Michigan",93927
1600000US2649000,"Livonia city, Michigan",93664
1600000US5380010,"Yakima city, Washington",93638
1600000US0673080,"South Gate city, California",93433
1600000US3728080,"Greenville city, North Carolina",93391
1600000US5335940,"Kirkland city, Washington",93027
1600000US4041850,"Lawton city, Oklahoma",93026
1600000US3702140,"Asheville city, North Carolina",92859
1600000US1217200,"Deltona city, Florida",92752
1600000US0659920,"Redding city, California",92598
1600000US5305280,"Bellingham city, Washington",92327
1600000US5176432,"Suffolk city, Virginia",92108
1600000US3473110,"Toms River CDP, New Jersey",91785
1600000US0636448,"Indio city, California",91756
1600000US4548535,"Mount Pleasant town, South Carolina",91668
1600000US0611530,"Carson city, California",91407
1600000US0669070,"Santa Barbara city, California",91357
1600000US4816432,"Conroe city, Texas",91081
1600000US4850820,"New Braunfels city, Texas",90710
1600000US0684550,"Westminster city, California",90642
1600000US0670000,"Santa Monica city, California",90401
1600000US0641992,"Livermore city, California",90188
1600000US1254200,"Palm Coast city, Florida",89797
1600000US4965330,"St. George city, Utah",89586
1600000US2523000,"Fall River city, Massachusetts",89534
1600000US3350260,"Nashua city, New Hampshire",89356
1600000US1712385,"Champaign city, Illinois",88919
1600000US1245025,"Miami Beach city, Florida",88885
1600000US0955990,"Norwalk city, Connecticut",88826
1600000US0668084,"San Leandro city, California",88822
1600000US2954074,"O'Fallon city, Missouri",88659
1600000US2545560,"Newton city, Massachusetts",88411
1600000US4263624,"Reading city, Pennsylvania",88373
1600000US0404720,"Avondale city, Arizona",87917
1600000US0524550,"Fort Smith city, Arkansas",87895
1600000US0613588,"Citrus Heights city, California",87792
1600000US4955980,"Ogden city, Utah",87764
1600000US0523290,"Fayetteville city, Arkansas",87585
1600000US1224125,"Fort Myers city, Florida",87111
1600000US0428380,"Goodyear city, Arizona",86843
1600000US1805860,"Bloomington city, Indiana",86630
1600000US4810912,"Bryan city, Texas",86268
1600000US1779293,"Waukegan city, Illinois",86262
1600000US0632548,"Hawthorne city, California",86062
1600000US0660102,"Redwood City city, California",85926
1600000US0135896,"Hoover city, Alabama",85772
1600000US2717000,"Duluth city, Minnesota",85617
1600000US0639496,"Lake Forest city, California",85529
1600000US1271625,"The Villages CDP, Florida",85377
1600000US0633182,"Hemet city, California",85341
1600000US0685292,"Whittier city, California",85087
1600000US3413690,"Clifton city, New Jersey",85053
1600000US1239425,"Largo city, Florida",84957
1600000US2706616,"Bloomington city, Minnesota",84935
1600000US3570500,"Santa Fe city, New Mexico",84700
1600000US0918430,"Danbury city, Connecticut",84692
1600000US1342425,"Johns Creek city, Georgia",84590
1600000US0651182,"Newport Beach city, California",84522
1600000US5335275,"Kennewick city, Washington",84354
1600000US4848768,"Mission city, Texas",84336
1600000US0647766,"Milpitas city, California",84184
1600000US2680700,"Troy city, Michigan",84087
1600000US0613214,"Chino Hills city, California",83843
1600000US0600884,"Alhambra city, California",83732
1600000US2432025,"Germantown CDP, Maryland",83707
1600000US0646898,"Merced city, California",83668
1600000US1973335,"Sioux City city, Iowa",83288
1600000US2472450,"Silver Spring CDP, Maryland",83247
1600000US3474000,"Trenton city, New Jersey",83211
1600000US4826232,"Flower Mound town, Texas",83205
1600000US4727740,"Franklin city, Tennessee",83096
1600000US4147000,"Medford city, Oregon",83084
1600000US0645484,"Manteca city, California",83037
1600000US1243975,"Melbourne city, Florida",83030
1600000US0649670,"Mountain View city, California",82726
1600000US4804462,"Atascocita CDP, Texas",82572
1600000US4843888,"Longview city, Texas",82461
1600000US5147672,"Lynchburg city, Virginia",82168
1600000US5303180,"Auburn city, Washington",82021
1600000US0657792,"Pleasanton city, California",81794
1600000US0608786,"Buena Park city, California",81783
1600000US2686000,"Westland city, Michigan",81524
1600000US4419180,"Cranston city, Rhode Island",81459
1600000US2562535,"Somerville city, Massachusetts",81358
1600000US0624638,"Folsom city, California",81324
1600000US1216725,"Deerfield Beach city, Florida",81070
1600000US4474300,"Warwick city, Rhode Island",81006
1600000US2481175,"Waldorf CDP, Maryland",80971
1600000US1714351,"Cicero town, Illinois",80801
1600000US2627440,"Farmington Hills city, Michigan",80597
1600000US0566080,"Springdale city, Arkansas",80454
1600000US1236100,"Kendall CDP, Florida",80410
1600000US2707966,"Brooklyn Park city, Minnesota",80401
1600000US2534550,"Lawrence city, Massachusetts",80038
1600000US2751730,"Plymouth city, Minnesota",79785
1600000US0407940,"Buckeye city, Arizona",79624
1600000US4829336,"Georgetown city, Texas",79609
1600000US0680854,"Tustin city, California",79346
1600000US0639892,"Lakewood city, California",79302
1600000US0656700,"Perris city, California",79294
1600000US4857200,"Pharr city, Texas",79115
1600000US0846465,"Loveland city, Colorado",78871
1600000US1207875,"Boynton Beach city, Florida",78690
1600000US3650617,"New Rochelle city, New York",78568
1600000US4872176,"Temple city, Texas",78437
1600000US2241155,"Lake Charles city, Louisiana",78395
1600000US0535710,"Jonesboro city, Arkansas",78380
1600000US0650258,"Napa city, California",78130
1600000US3961000,"Parma city, Ohio",78093
1600000US4943660,"Layton city, Utah",78008
1600000US0600562,"Alameda city, California",77630
1600000US4652980,"Rapid City city, South Dakota",77496
1600000US1380508,"Warner Robins city, Georgia",77421
1600000US4813552,"Cedar Park city, Texas",77419
1600000US1706613,"Bloomington city, Illinois",77323
1600000US3725580,"Gastonia city, North Carolina",77277
1600000US0681344,"Upland city, California",77123
1600000US4806128,"Baytown city, Texas",76895
1600000US5566000,"Racine city, Wisconsin",76747
1600000US4269000,"Scranton city, Pennsylvania",76651
1600000US4970850,"South Jordan city, Utah",76607
1600000US0604982,"Bellflower city, California",76445
1600000US2642160,"Kalamazoo city, Michigan",76201
1600000US4206088,"Bethlehem city, Pennsylvania",76044
1600000US0668378,"San Ramon city, California",75984
1600000US2688940,"Wyoming city, Michigan",75660
1600000US4848804,"Missouri City city, Texas",75543
1600000US3050200,"Missoula city, Montana",75527
1600000US1831000,"Hammond city, Indiana",75517
1600000US5502375,"Appleton city, Wisconsin",75382
1600000US0603666,"Baldwin Park city, California",75240
1600000US1938595,"Iowa City city, Iowa",75149
1600000US0659444,"Rancho Cordova city, California",75086
1600000US2964550,"St. Joseph city, Missouri",75053
1600000US0423620,"Flagstaff city, Arizona",75044
1600000US4561405,"Rock Hill city, South Carolina",75041
1600000US2432650,"Glen Burnie CDP, Maryland",74956
1600000US5353545,"Pasco city, Washington",74846
1600000US4846452,"Mansfield city, Texas",74841
1600000US3807200,"Bismarck city, North Dakota",74632
1600000US2669035,"Rochester Hills city, Michigan",74509
1600000US2524960,"Framingham city, Massachusetts",74429
1600000US0681204,"Union City city, California",74099
1600000US3615000,"Cheektowaga CDP, New York",74058
1600000US5121088,"Dale City CDP, Virginia",73918
1600000US0680812,"Turlock city, California",73629
1600000US3410000,"Camden city, New Jersey",73560
1600000US1724582,"Evanston city, Illinois",73470
1600000US0602364,"Apple Valley town, California",73464
1600000US1707133,"Bolingbrook village, Illinois",73304
